2025-11-27 19:40:09,095 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:02,162 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:04,169 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:06,171 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:08,164 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:10,167 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:12,164 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:14,172 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:16,179 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:18,198 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:20,193 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:22,208 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:24,225 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:26,233 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:28,237 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:30,240 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:32,250 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:34,267 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:36,282 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:38,295 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:40,297 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:42,308 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:44,306 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:46,312 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:48,321 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:50,335 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:52,348 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:54,355 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:56,365 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:58,368 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:00,366 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:02,372 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:04,369 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:06,381 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:08,387 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:10,391 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:12,395 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:14,418 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:16,412 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:18,425 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:20,443 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:22,439 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:24,450 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:26,455 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:28,470 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:30,488 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:32,514 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:34,516 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:36,522 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:38,539 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:40,550 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:42,563 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:44,591 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:46,606 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:48,610 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:50,619 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:52,620 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:54,619 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:56,621 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:46:58,617 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:00,625 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:02,633 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:04,643 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:06,661 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:08,671 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:10,668 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:12,669 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:14,665 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:16,676 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:18,690 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:20,705 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:22,715 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:24,712 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:26,721 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:28,732 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:30,733 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:32,734 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:34,759 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:36,770 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:38,783 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:40,794 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:42,778 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:44,789 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:46,788 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:48,791 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:50,799 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:52,823 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:54,835 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:56,836 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:47:58,838 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:00,846 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:02,851 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:04,858 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:06,861 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:08,868 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:10,876 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:12,897 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:14,918 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:16,917 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:33,902 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:35,920 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:37,923 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:39,951 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:41,961 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:43,976 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:45,983 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:47,996 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:49,998 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:51,989 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:54,006 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:56,017 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:48:58,022 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:00,028 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:02,033 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:04,056 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:06,057 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:08,065 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:49:10,091 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
